Accelerator,Platform,Category,Total_Functions,Flagged_Functions,Manually_Analyzed_Functions,NER
Google TPU,coral,Relevant Functions,159,13,1,99.37
Google TPU,coral,KD Entry Point,159,15,9,94.34
Google TPU,coral,SMem Handling,159,18,7,95.60
NXP NPU,nxp,Relevant Functions,1273,14,3,99.76
NXP NPU,nxp,KD Entry Point,1273,10,7,99.45
NXP NPU,nxp,SMem Handling,1273,19,7,99.45
TMMA,ti,Relevant Functions,6138,6,4,99.93
TMMA,ti,KD Entry Point,6138,9,6,99.90
TMMA,ti,SMem Handling,6138,15,12,99.80
HAILO NPU,hailo,Relevant Functions,296,8,2,99.32
HAILO NPU,hailo,KD Entry Point,296,19,13,95.61
HAILO NPU,hailo,SMem Handling,296,23,4,98.65
NVIDIA GPU,nvidia,Relevant Functions,7624,29,12,99.84
NVIDIA GPU,nvidia,KD Entry Point,7624,40,16,99.79
NVIDIA GPU,nvidia,SMem Handling,7624,45,34,99.55
AWS INF,aws,Relevant Functions,635,8,5,99.21
AWS INF,aws,KD Entry Point,635,12,8,98.74
AWS INF,aws,SMem Handling,635,17,15,97.64
