Accelerator,Platform,Category,Total_Functions,Flagged_Functions,BER
Google TPU,coral,Relevant Functions,159,12,92.45
Google TPU,coral,KD Entry Point,159,13,91.82
Google TPU,coral,SMem Handling,159,18,88.68
NXP NPU,nxp,Relevant Functions,1273,12,99.06
NXP NPU,nxp,KD Entry Point,1273,9,99.29
NXP NPU,nxp,SMem Handling,1273,13,98.98
TMMA,ti,Relevant Functions,6138,7,99.89
TMMA,ti,KD Entry Point,6138,9,99.85
TMMA,ti,SMem Handling,6138,16,99.74
HAILO NPU,hailo,Relevant Functions,296,7,97.64
HAILO NPU,hailo,KD Entry Point,296,19,93.58
HAILO NPU,hailo,SMem Handling,296,21,92.91
NVIDIA GPU,nvidia,Relevant Functions,7624,27,99.65
NVIDIA GPU,nvidia,KD Entry Point,7624,40,99.48
NVIDIA GPU,nvidia,SMem Handling,7624,43,99.44
AWS INF,aws,Relevant Functions,635,8,98.74
AWS INF,aws,KD Entry Point,635,13,97.95
AWS INF,aws,SMem Handling,635,18,97.17
